sample_id,energy_mev,voxels,criterion,interp_fraction,max_gamma,rung,backend,device,dtype,path,pass_rate_pct,seconds_best,seconds_mean,repeats
e880a943-c2d7-456b-8701-0f5b0cec81e5,120.99025964736938,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,92.94489721445079,0.06808709097094834,0.06874012333961825,3
f56ab9b1-d9a1-4f5f-9a63-a39f37a25eea,92.88086861371994,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,97.06559263521288,0.06502058997284621,0.07019677471059065,3
f5a98603-643e-4eb5-b1b2-82506d507d92,127.92829990386963,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,97.1381169639154,0.05550331994891167,0.0559345733296747,3
f66617bb-c240-4004-b316-ed986e759e9d,99.09188866615295,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.94686503719447,0.05549786798655987,0.05830931531575819,3
f6bab911-32d5-4edc-974e-b9c25e415588,91.70978635549545,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.54844006568145,0.05481941008474678,0.05568908201530576,3
ffe59e68-ac3e-47f4-a592-8ed831d25460,98.0342847108841,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,93.00872282254915,0.06128190702293068,0.06579439664104332,3
080281e0-850c-4030-a1eb-da148c77a9cf,156.6183578968048,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.92045956694653,0.050688931019976735,0.05108833763127526,3
13b54e4f-f8f8-4b93-84c5-61ac5a170582,177.97147750854492,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.10291798107255,0.054765770910307765,0.05599694365325073,3
15e69e83-9763-4e3d-b98f-0112f9d8a0ff,135.43013453483582,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,97.08515511138872,0.0562472710153088,0.05744754037975023,3
2863720e-f0d2-4679-a463-e8942091b113,161.7336881160736,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.07912382655341,0.05430632899515331,0.05471702467184514,3
2a0b77ce-1f12-4a2b-8712-ddb79a9e5746,142.26308584213257,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,97.33057185594292,0.05489653593394905,0.055625582307887576,3
31b5555a-ff42-4060-8504-97805fe9dbca,120.86735486984253,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,tensor,99.7753331267431,0.05455729097593576,0.05501078631884108,3
